Timestamp,Temp,Setpoint,PidOutput,Error,RelayState,TempTrend,Phase
2025-09-19 18:21:34,258.8,270,N/A,N/A,100,INITIAL,UNDERSHOOT
2025-09-19 18:21:55,260.6,270,N/A,N/A,100,RISING,UNDERSHOOT
2025-09-19 18:22:16,260.6,270,N/A,N/A,100,STABLE,UNDERSHOOT
2025-09-19 18:22:37,262.4,270,N/A,N/A,100,RISING,UNDERSHOOT
2025-09-19 18:22:58,262.4,270,N/A,N/A,100,STABLE,UNDERSHOOT
2025-09-19 18:23:20,264.2,270,N/A,N/A,100,RISING,UNDERSHOOT
2025-09-19 18:23:41,264.2,270,N/A,N/A,100,STABLE,UNDERSHOOT
2025-09-19 18:24:02,266,270,N/A,N/A,100,RISING,MAINTENANCE
2025-09-19 18:24:23,266,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:24:44,266,270,100,4,N/A,STABLE,MAINTENANCE
2025-09-19 18:25:05,266,270,100,4,100,STABLE,MAINTENANCE
2025-09-19 18:25:26,267.8,270,N/A,N/A,100,RISING,MAINTENANCE
2025-09-19 18:25:47,267.8,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:26:08,267.8,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:26:29,269.6,270,N/A,N/A,100,RISING,MAINTENANCE
2025-09-19 18:26:50,269.6,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:27:12,269.6,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:27:33,271.4,270,N/A,N/A,100,RISING,MAINTENANCE
2025-09-19 18:27:54,273.2,270,100,-3.2,100,RISING,MAINTENANCE
2025-09-19 18:28:14,275,270,100,-5,N/A,RISING,MAINTENANCE
2025-09-19 18:28:36,271.4,270,N/A,N/A,100,FALLING,MAINTENANCE
2025-09-19 18:28:57,271.4,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:29:18,275,270,N/A,N/A,0,RISING,MAINTENANCE
2025-09-19 18:29:39,275,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:30:00,275,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:30:21,275,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:30:43,275,270,N/A,N/A,100,STABLE,MAINTENANCE
2025-09-19 18:31:04,276.8,270,N/A,N/A,100,RISING,APPROACHING
2025-09-19 18:31:25,278.6,270,100,-10.4,100,RISING,APPROACHING
2025-09-19 18:31:46,282.2,270,100,-12.2,100,RISING,APPROACHING
2025-09-19 18:32:07,278.6,270,100,N/A,100,FALLING,APPROACHING
2025-09-19 18:32:28,280.4,270,N/A,N/A,100,RISING,APPROACHING
2025-09-19 18:32:49,280.4,270,N/A,N/A,100,STABLE,APPROACHING
2025-09-19 18:33:10,280.4,270,N/A,N/A,0,STABLE,APPROACHING
2025-09-19 18:33:31,284,270,N/A,N/A,100,RISING,APPROACHING
2025-09-19 18:33:52,282.2,270,N/A,N/A,100,FALLING,APPROACHING
2025-09-19 18:34:14,284,270,N/A,N/A,100,RISING,APPROACHING
2025-09-19 18:34:35,284,270,100,-14,100,STABLE,APPROACHING
2025-09-19 18:34:55,284,270,N/A,N/A,100,STABLE,APPROACHING
2025-09-19 18:35:16,284,270,N/A,N/A,100,STABLE,APPROACHING
2025-09-19 18:35:37,287.6,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:35:58,284,270,N/A,N/A,100,FALLING,APPROACHING
2025-09-19 18:36:19,285.8,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:36:41,285.8,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:37:02,287.6,270,N/A,N/A,0,RISING,COOLDOWN
2025-09-19 18:37:23,287.6,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:37:44,289.4,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:38:05,293,270,100,-23,100,RISING,COOLDOWN
2025-09-19 18:38:26,289.4,270,100,-19.4,100,FALLING,COOLDOWN
2025-09-19 18:38:47,289.4,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:39:08,289.4,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:39:29,293,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:39:50,289.4,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:40:11,289.4,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:40:33,291.2,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:40:54,291.2,270,N/A,N/A,0,STABLE,COOLDOWN
