Timestamp,Thermocouple,SmokerSetpoint,MeatTarget,PidOutput,PidError,PTerms,ITerms,DTerms,RelayState,Status
2025-09-19 16:24:08,312.8,N/A,N/A,58308,-62.8,0,0,0,N/A,OK
2025-09-19 16:24:38,311,250,250,58308,N/A,N/A,N/A,N/A,0,OVERHEAT
2025-09-19 16:25:06,309.2,250,250,58308,N/A,N/A,N/A,N/A,0,OVERHEAT
2025-09-19 16:25:34,305.6,250,250,58308,-55.6,0,0,N/A,0,OVERHEAT
