Timestamp,Thermocouple,Thermistor1,Thermistor2,SmokerSetpoint,MeatTarget,PidOutput,PidError,PidSetpoint,PidInput,PidPTerm,PidITerm,PidDTerm,RelayState,RelayOnTime,ButtonState,CurrentMode,Notes
2025-09-19 15:05:48,242.6,261.9,254.32,250,250,0,7.4,250,242.6,0,0,N/A,0,3000,0,0,
2025-09-19 15:06:16,239,259.21,252.29,250,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,
2025-09-19 15:06:43,239,257.06,249.91,250,250,0,11,N/A,N/A,N/A,N/A,N/A,0,0,0,0,
